database_name,schema_name,table_name,column_count
q4_v862_rep,dbo,lk_le_rc_data,15
q4_v862_rep,dbo,lk_le_rl_data,16
q4_v862_rep,dbo,lk_le_ro_data,17
q4_v862_rep,dbo,lk_le_sc_data,20
q4_v862_rep,dbo,lk_lo_zones_data,17
q4_v862_rep,dbo,lk_ma_do_data,16
q4_v862_rep,dbo,lk_ma_si_data,17
q4_v862_rep,dbo,lk_mc_ap_data,19
q4_v862_rep,dbo,lk_mc_cl_data,20
q4_v862_rep,dbo,lk_mc_co_data,18
q4_v862_rep,dbo,lk_mc_do_data,23
q4_v862_rep,dbo,lk_mc_eq_data,15
q4_v862_rep,dbo,lk_mc_re_data,17
q4_v862_rep,dbo,lk_mc_sc_data,20
q4_v862_rep,dbo,lk_mc_su_data,17
q4_v862_rep,dbo,lk_mc_wg_data,19
q4_v862_rep,dbo,lk_mc_wo_data,15
q4_v862_rep,dbo,lk_ms_ac_data,20
q4_v862_rep,dbo,lk_ms_ra_data,18
q4_v862_rep,dbo,lk_ms_re_data,19
q4_v862_rep,dbo,lk_ms_sc_data,18
q4_v862_rep,dbo,lk_np_as_data,19
q4_v862_rep,dbo,lk_np_lc_data,23
q4_v862_rep,dbo,lk_np_mo_data,20
q4_v862_rep,dbo,lk_np_rn_data,22
q4_v862_rep,dbo,lk_pe_eq_data,14
q4_v862_rep,dbo,lk_pe_pe_data,9
q4_v862_rep,dbo,lk_pe_pe_lk_data,9
q4_v862_rep,dbo,lk_pe_sc_data,20
q4_v862_rep,dbo,lk_pl_qc_data,22
q4_v862_rep,dbo,lk_pm_eq_data,17
q4_v862_rep,dbo,lk_pm_mp_data,17
q4_v862_rep,dbo,lk_pm_re_data,14
q4_v862_rep,dbo,lk_pm_sp_data,33
q4_v862_rep,dbo,lk_pm_td_data,18
q4_v862_rep,dbo,lk_po_hi_sc_data,26
q4_v862_rep,dbo,lk_po_hi_tc_data,14
q4_v862_rep,dbo,lk_po_sc_data,24
q4_v862_rep,dbo,lk_po_tc_data,14
q4_v862_rep,dbo,lk_ra_cd_data,20
q4_v862_rep,dbo,lk_ra_controls_data,29
q4_v862_rep,dbo,lk_ra_controls_deselected_data,20
q4_v862_rep,dbo,lk_ra_eq_data,15
q4_v862_rep,dbo,lk_ra_hazards_data,26
q4_v862_rep,dbo,lk_ra_hc_data,16
q4_v862_rep,dbo,lk_ra_hd_data,16
q4_v862_rep,dbo,lk_ra_ic_data,16
q4_v862_rep,dbo,lk_ra_pe_data,16
q4_v862_rep,dbo,lk_ra_ra_data,15
q4_v862_rep,dbo,lk_ra_ro_data,22
q4_v862_rep,dbo,lk_ra_sc_data,23
